Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.6647058823529411,0.7159763313609467,0.6568047337278107,0.7159763313609467,0.7041420118343196,0.6915210581273931,0.02561127127637247,0.02689957618713379,0.0058329105377197266
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.4823529411764706,0.47337278106508873,0.5325443786982249,0.5384615384615384,0.4437869822485207,0.4941037243299687,0.036179903343855936,0.0812387466430664,0.0355534553527832
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.6529411764705882,0.650887573964497,0.6390532544378699,0.6272189349112426,0.7100591715976331,0.6560320222763663,0.02854268417943506,0.008022546768188477,0.03368043899536133
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.788235294117647,0.7869822485207101,0.8284023668639053,0.8106508875739645,0.8165680473372781,0.8061677688827011,0.016200613169125036,1.4178812503814697,0.007431507110595703
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.49411764705882355,0.2603550295857988,0.27218934911242604,0.3431952662721893,0.25443786982248523,0.3248590323703446,0.09041979668665079,0.027185678482055664,0.007704973220825195
vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.4764705882352941,0.5739644970414202,0.5976331360946746,0.6686390532544378,0.5976331360946746,0.5828680821441004,0.0619554253625818,0.809844970703125,0.008925437927246094
CastMetal1,DecisionTree,0.803030303030303,0.7727272727272727,0.8,0.8769230769230769,0.7846153846153846,0.8074592074592075,0.03641052502669166,0.017887592315673828,0.006350517272949219
CastMetal1,SVM,0.8636363636363636,0.8636363636363636,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.8716083916083915,0.006509133582221024,0.014112710952758789,0.008365631103515625
CastMetal1,KNN,0.8333333333333334,0.8484848484848485,0.8769230769230769,0.8615384615384616,0.8769230769230769,0.8594405594405595,0.0168362281157292,0.006645679473876953,0.02586197853088379
CastMetal1,LogisticRegression,0.8333333333333334,0.7727272727272727,0.8923076923076924,0.8923076923076924,0.8923076923076924,0.8565967365967365,0.047751628191123614,0.9590449333190918,0.008358001708984375
CastMetal1,Perceptron,0.8636363636363636,0.8636363636363636,0.8307692307692308,0.8769230769230769,0.8769230769230769,0.8623776223776224,0.016884310913093975,0.009675741195678711,0.006358623504638672
CastMetal1,MLP,0.6818181818181818,0.6818181818181818,0.6307692307692307,0.6307692307692307,0.6923076923076923,0.6634965034965035,0.026994818592058226,0.06495952606201172,0.0067691802978515625
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.8056872037914692,0.7914691943127962,0.8009478672985783,0.8388625592417062,0.8483412322274881,0.8170616113744076,0.022350381274979327,0.05181741714477539,0.007074117660522461
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.8293838862559242,0.8056872037914692,0.8104265402843602,0.7819905213270142,0.8293838862559242,0.8113744075829384,0.017580319422740687,0.10922956466674805,0.05865120887756348
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.8436018957345972,0.8293838862559242,0.8246445497630331,0.7582938388625592,0.8009478672985783,0.8113744075829384,0.029884137953430253,0.008764982223510742,0.034789085388183594
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.8767772511848341,0.8388625592417062,0.8815165876777251,0.8720379146919431,0.8815165876777251,0.8701421800947866,0.016029890545296452,0.5522434711456299,0.008090734481811523
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.7914691943127962,0.6872037914691943,0.5165876777251185,0.6919431279620853,0.7914691943127962,0.6957345971563982,0.10050969586207818,0.012636423110961914,0.006861686706542969
qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.8720379146919431,0.8815165876777251,0.8625592417061612,0.8483412322274881,0.8862559241706162,0.8701421800947868,0.013604455065788945,4.36332893371582,0.009336709976196289
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.8275,0.8425,0.8325,0.805,0.8275,0.827,0.012288205727444499,0.05287981033325195,0.006429910659790039
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.8425,0.845,0.8525,0.8525,0.8625,0.851,0.007000000000000016,0.19548320770263672,0.06534886360168457
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.8225,0.8275,0.815,0.825,0.8425,0.8265,0.00902773504263392,0.008136987686157227,0.05478501319885254
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.8575,0.865,0.8525,0.8275,0.865,0.8535,0.013838352503098042,1.1825220584869385,0.008899927139282227
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.775,0.8225,0.86,0.795,0.765,0.8035,0.03440930106817049,0.012831687927246094,0.00631403923034668
kc1_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.85,0.7575,0.795,0.7175,0.735,0.771,0.047238755275726727,0.6016561985015869,0.009430646896362305
balance-scale,DecisionTree,0.784,0.784,0.736,0.768,0.8,0.7744,0.02170345594600088,0.009545087814331055,0.005452632904052734
balance-scale,SVM,0.92,0.912,0.888,0.896,0.904,0.9040000000000001,0.01131370849898477,0.021217823028564453,0.010906457901000977
balance-scale,KNN,0.808,0.832,0.816,0.848,0.872,0.8352,0.022964320151051713,0.007758378982543945,0.01161813735961914
balance-scale,LogisticRegression,0.88,0.888,0.88,0.832,0.872,0.8704000000000001,0.019855477833585388,0.04443764686584473,0.00599217414855957
balance-scale,Perceptron,0.888,0.88,0.88,0.832,0.872,0.8704000000000001,0.019855477833585388,0.01492452621459961,0.005571842193603516
balance-scale,MLP,0.976,0.984,0.968,0.96,0.984,0.9743999999999999,0.009329523031752489,5.39551854133606,0.009974956512451172
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.625,0.6125,0.58,0.5625,0.575,0.591,0.02369599122214559,0.14666175842285156,0.0070307254791259766
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.595,0.5925,0.5875,0.615,0.5925,0.5965,0.009565563234854484,0.4435694217681885,0.4793412685394287
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.5325,0.5525,0.5525,0.53,0.52,0.5375,0.012942179105544774,0.008310317993164062,0.05569314956665039
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.6275,0.645,0.62,0.6075,0.625,0.625,0.012144957801491111,0.0662379264831543,0.007386922836303711
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.5725,0.51,0.545,0.525,0.525,0.5355,0.021587033144922906,0.014925956726074219,0.007897377014160156
Higgs_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.5275,0.6125,0.5225,0.5925,0.595,0.57,0.03741657386773944,18.723681926727295,0.010845422744750977
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.9975,0.9975,1.0,0.9925,0.9975,0.9970000000000001,0.0024494897427831666,0.015287160873413086,0.006046295166015625
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.9275,0.9275,0.9425,0.9075,0.9575,0.9324999999999999,0.016733200530681523,0.08500933647155762,0.0535123348236084
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.9925,0.985,0.9975,0.9875,0.975,0.9875,0.00758287544405158,0.012422800064086914,0.026888370513916016
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.965,0.9475,0.965,0.955,0.945,0.9555,0.008426149773176355,2.2192306518554688,0.008258342742919922
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.805,0.805,0.765,0.8875,0.8925,0.8310000000000001,0.05036367738757761,0.028591394424438477,0.006224632263183594
shuttle_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.9975,0.9925,1.0,1.0,0.9925,0.9964999999999999,0.003391164991562614,4.4170897006988525,0.008931636810302734
FOREX_eurcad-day-High,DecisionTree,0.5694822888283378,0.6158038147138964,0.6021798365122616,0.5967302452316077,0.587431693989071,0.594325575855035,0.015449926260233837,0.09388923645019531,0.007589101791381836
FOREX_eurcad-day-High,SVM,0.5912806539509536,0.5776566757493188,0.5803814713896458,0.6185286103542235,0.6010928961748634,0.5937880615238009,0.014911074572120193,0.24168705940246582,0.13658571243286133
FOREX_eurcad-day-High,KNN,0.5231607629427792,0.48501362397820164,0.5286103542234333,0.5749318801089919,0.5765027322404371,0.5376438706987686,0.034530318464042496,0.013525009155273438,0.01782393455505371
FOREX_eurcad-day-High,LogisticRegression,0.7465940054495913,0.7656675749318801,0.7465940054495913,0.7029972752043597,0.7568306010928961,0.7437366924256638,0.02157981762041646,1.1207623481750488,0.007893085479736328
FOREX_eurcad-day-High,Perceptron,0.5068119891008175,0.5613079019073569,0.5258855585831063,0.6866485013623979,0.7158469945355191,0.5993001890978396,0.08555708563463718,0.01731276512145996,0.006665229797363281
FOREX_eurcad-day-High,MLP,0.5722070844686649,0.5749318801089919,0.6566757493188011,0.5340599455040872,0.6174863387978142,0.5910721996396718,0.042114919172559245,0.8549609184265137,0.00874018669128418
vehicle,DecisionTree,0.6647058823529411,0.7159763313609467,0.6568047337278107,0.7159763313609467,0.7041420118343196,0.6915210581273931,0.02561127127637247,0.02793097496032715,0.006905555725097656
vehicle,SVM,0.4823529411764706,0.47337278106508873,0.5325443786982249,0.5384615384615384,0.4437869822485207,0.4941037243299687,0.036179903343855936,0.08487653732299805,0.03824019432067871
vehicle,KNN,0.6529411764705882,0.650887573964497,0.6390532544378699,0.6272189349112426,0.7100591715976331,0.6560320222763663,0.02854268417943506,0.007668018341064453,0.03269028663635254
vehicle,LogisticRegression,0.788235294117647,0.7869822485207101,0.8284023668639053,0.8106508875739645,0.8165680473372781,0.8061677688827011,0.016200613169125036,1.461496353149414,0.008167505264282227
vehicle,Perceptron,0.49411764705882355,0.2603550295857988,0.27218934911242604,0.3431952662721893,0.25443786982248523,0.3248590323703446,0.09041979668665079,0.028072595596313477,0.006522178649902344
vehicle,MLP,0.4764705882352941,0.5739644970414202,0.5976331360946746,0.6686390532544378,0.5976331360946746,0.5828680821441004,0.0619554253625818,0.8515722751617432,0.009264230728149414
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.7575,0.73,0.78,0.73,0.725,0.7445,0.021118712081942888,0.046273231506347656,0.006487607955932617
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.645,0.59,0.63,0.6,0.6225,0.6174999999999999,0.020000000000000018,0.27365708351135254,0.15401124954223633
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.655,0.6175,0.675,0.64,0.645,0.6465,0.018814887722226777,0.013328790664672852,0.01662135124206543
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.77,0.705,0.72,0.7375,0.7325,0.733,0.021644860821913383,1.0577318668365479,0.007869243621826172
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.6,0.6325,0.4975,0.6575,0.5,0.5775,0.06683935966180404,0.014872312545776367,0.0066986083984375
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.7575,0.6975,0.695,0.715,0.735,0.72,0.023611437906235183,2.4148213863372803,0.009325027465820312
steel-plates-fault,DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.049434661865234375,0.00710749626159668
steel-plates-fault,SVM,0.6580976863753213,0.6623711340206185,0.6572164948453608,0.6572164948453608,0.654639175257732,0.6579081970688787,0.0025138464537935957,0.28699660301208496,0.13261771202087402
steel-plates-fault,KNN,0.6786632390745502,0.6649484536082474,0.6005154639175257,0.6185567010309279,0.6365979381443299,0.6398563591551162,0.02880133995116244,0.008860349655151367,0.058118581771850586
steel-plates-fault,LogisticRegression,0.7043701799485861,0.711340206185567,0.7319587628865979,0.6984536082474226,0.7036082474226805,0.7099462009381708,0.011745956629916118,1.2546415328979492,0.008512735366821289
steel-plates-fault,Perceptron,0.6529562982005142,0.654639175257732,0.48195876288659795,0.4097938144329897,0.4072164948453608,0.5213129091246389,0.11145324058701338,0.01397848129272461,0.0068395137786865234
steel-plates-fault,MLP,0.6658097686375322,0.6752577319587629,0.6597938144329897,0.5077319587628866,0.6520618556701031,0.6321310258924548,0.0626606195902811,0.3199343681335449,0.009373188018798828
eye_movements_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.52,0.545,0.555,0.5025,0.57,0.5385,0.024269322199023204,0.09218001365661621,0.00718379020690918
